Localidade,CodigoIBGE,I2000,I2010
Marcação,2509057,0.341,0.529
Mari,2509107,0.394,0.548
Marizópolis,2509156,0.412,0.608
Massaranduba,2509206,0.408,0.567
Mataraca,2509305,0.385,0.536
Matinhas,2509339,0.397,0.541
Mato Grosso,2509370,0.364,0.565
Maturéia,2509396,0.341,0.572
Mogeiro,2509404,0.391,0.574
Montadas,2509503,0.449,0.59
Monte Horebe,2509602,0.426,0.587
Monteiro,2509701,0.452,0.628
Mulungu,2509800,0.402,0.565
Natuba,2509909,0.378,0.541
Nazarezinho,2510006,0.394,0.562
Nova Floresta,2510105,0.423,0.601
Nova Olinda,2510204,0.382,0.573
Nova Palmeira,2510303,0.425,0.595
Olho d'Água,2510402,0.39,0.572
Olivedos,2510501,0.441,0.603
Ouro Velho,2510600,0.461,0.614
Parari,2510659,0.441,0.584
Passagem,2510709,0.446,0.62
Patos,2510808,0.557,0.701
Paulista,2510907,0.415,0.587
Pedra Branca,2511004,0.426,0.599
Pedra Lavrada,2511103,0.402,0.574
Pedras de Fogo,2511202,0.401,0.59
Piancó,2511301,0.475,0.621
Picuí,2511400,0.433,0.608
Pilar,2511509,0.4,0.579
Pilões,2511608,0.354,0.56
Pilõezinhos,2511707,0.405,0.564
Pirpirituba,2511806,0.46,0.595
Pitimbu,2511905,0.429,0.57
Pocinhos,2512002,0.426,0.591
Poço Dantas,2512036,0.327,0.525
Poço de José de Moura,2512077,0.422,0.612
Pombal,2512101,0.472,0.634
Prata,2512200,0.434,0.608
Princesa Isabel,2512309,0.466,0.606
Puxinanã,2512408,0.436,0.617
Queimadas,2512507,0.431,0.608
Quixabá,2512606,0.416,0.622
Remígio,2512705,0.436,0.607
Pedro Régis,2512721,0.319,0.542
Riachão,2512747,0.362,0.574
Riachão do Bacamarte,2512754,0.394,0.553
Riachão do Poço,2512762,0.381,0.555
Riacho de Santo Antônio,2512788,0.42,0.594
Riacho dos Cavalos,2512804,0.366,0.568
Rio Tinto,2512903,0.447,0.585
Salgadinho,2513000,0.395,0.563
Salgado de São Félix,2513109,0.42,0.568
Santa Cecília,2513158,0.32,0.525
Santa Cruz,2513208,0.476,0.618
Santa Helena,2513307,0.44,0.609
Santa Inês,2513356,0.336,0.572
Santa Luzia,2513406,0.524,0.682
Santana de Mangueira,2513505,0.363,0.535
Santana dos Garrotes,2513604,0.448,0.594
Joca Claudino,2513653,0.425,0.622
Santa Rita,2513703,0.472,0.627
Santa Teresinha,2513802,0.42,0.627
Santo André,2513851,0.449,0.6
São Bento,2513901,0.424,0.58
São Bentinho,2513927,0.369,0.606
São Domingos do Cariri,2513943,0.493,0.589
São Domingos,2513968,0.348,0.548
São Francisco,2513984,0.403,0.58
São João do Cariri,2514008,0.463,0.622
São João do Tigre,2514107,0.369,0.552
São José da Lagoa Tapada,2514206,0.341,0.53
São José de Caiana,2514305,0.349,0.565
São José de Espinharas,2514404,0.406,0.577
São José dos Ramos,2514453,0.357,0.541
São José de Piranhas,2514503,0.416,0.591
São José de Princesa,2514552,0.413,0.565
São José do Bonfim,2514602,0.401,0.578
São José do Brejo do Cruz,2514651,0.394,0.581
São José do Sabugi,2514701,0.482,0.617
São José dos Cordeiros,2514800,0.393,0.556
São Mamede,2514909,0.489,0.641
São Miguel de Taipu,2515005,0.374,0.548
São Sebastião de Lagoa de Roça,2515104,0.443,0.594
São Sebastião do Umbuzeiro,2515203,0.453,0.581
Sapé,2515302,0.406,0.569
São Vicente do Seridó,2515401,0.361,0.555
Serra Branca,2515500,0.476,0.628
Serra da Raiz,2515609,0.455,0.626
Serra Grande,2515708,0.391,0.586
Serra Redonda,2515807,0.407,0.57
Serraria,2515906,0.383,0.547
Sertãozinho,2515930,0.434,0.621
Sobrado,2515971,0.409,0.573
Solânea,2516003,0.428,0.595
Soledade,2516102,0.442,0.616
Sossêgo,2516151,0.393,0.573
Sousa,2516201,0.508,0.668
Sumé,2516300,0.469,0.627
Tacima,2516409,0.379,0.551
Taperoá,2516508,0.416,0.578
Tavares,2516607,0.379,0.586
Teixeira,2516706,0.427,0.605
Tenório,2516755,0.386,0.581
Triunfo,2516805,0.429,0.609
Uiraúna,2516904,0.485,0.636
Umbuzeiro,2517001,0.406,0.584
Várzea,2517100,0.555,0.707
Vieirópolis,2517209,0.378,0.571
Zabelê,2517407,0.484,0.623
Abreu e Lima,2600054,0.561,0.679
Afogados da Ingazeira,2600104,0.518,0.657
Afrânio,2600203,0.386,0.588
Agrestina,2600302,0.436,0.592
Água Preta,2600401,0.388,0.553
Águas Belas,2600500,0.358,0.526
Alagoinha,2600609,0.457,0.599
Aliança,2600708,0.431,0.604
Altinho,2600807,0.444,0.598
Amaraji,2600906,0.423,0.58
Angelim,2601003,0.434,0.572
Araçoiaba,2601052,0.429,0.592
Araripina,2601102,0.441,0.602
Arcoverde,2601201,0.556,0.667
Barra de Guabiraba,2601300,0.371,0.577
Barreiros,2601409,0.471,0.586
Belém de Maria,2601508,0.404,0.578
Belém de São Francisco,2601607,0.482,0.642
Belo Jardim,2601706,0.477,0.629
Betânia,2601805,0.409,0.559
Bezerros,2601904,0.458,0.606
Bodocó,2602001,0.391,0.565
Bom Conselho,2602100,0.4,0.563
Bom Jardim,2602209,0.442,0.602
Bonito,2602308,0.414,0.561
Brejão,2602407,0.364,0.547
Brejinho,2602506,0.401,0.574
Brejo da Madre de Deus,2602605,0.404,0.562
Buenos Aires,2602704,0.447,0.593
Buíque,2602803,0.377,0.527
Cabo de Santo Agostinho,2602902,0.547,0.686
Cabrobó,2603009,0.466,0.623
Cachoeirinha,2603108,0.481,0.579
Caetés,2603207,0.336,0.522
Calçado,2603306,0.41,0.566
Calumbi,2603405,0.41,0.571
Camaragibe,2603454,0.582,0.692
Camocim de São Félix,2603504,0.445,0.588
Camutanga,2603603,0.466,0.606
Canhotinho,2603702,0.395,0.541
Capoeiras,2603801,0.406,0.549
Carnaíba,2603900,0.432,0.583
Carnaubeira da Penha,2603926,0.331,0.573
Carpina,2604007,0.562,0.68
Caruaru,2604106,0.558,0.677
Casinhas,2604155,0.417,0.567
Catende,2604205,0.467,0.609
Cedro,2604304,0.459,0.615
Chã de Alegria,2604403,0.447,0.604
Chã Grande,2604502,0.427,0.599
Condado,2604601,0.476,0.602
Correntes,2604700,0.398,0.536
Cortês,2604809,0.402,0.568
Cumaru,2604908,0.379,0.572
Cupira,2605004,0.442,0.592
Custódia,2605103,0.459,0.594
Dormentes,2605152,0.403,0.589
Escada,2605202,0.479,0.632
Exu,2605301,0.412,0.576
Feira Nova,2605400,0.437,0.6
Fernando de Noronha,2605459,0.694,0.788
Ferreiros,2605509,0.45,0.622
Flores,2605608,0.42,0.556
Floresta,2605707,0.517,0.626
Frei Miguelinho,2605806,0.414,0.576
Gameleira,2605905,0.424,0.602
Garanhuns,2606002,0.533,0.664
Glória do Goitá,2606101,0.437,0.604
Goiana,2606200,0.511,0.651
Granito,2606309,0.408,0.595
Gravatá,2606408,0.496,0.634
Iati,2606507,0.334,0.528
Ibimirim,2606606,0.394,0.552
Ibirajuba,2606705,0.428,0.58
Igarassu,2606804,0.536,0.665
Iguaraci,2606903,0.443,0.598
Inajá,2607000,0.404,0.523
Ingazeira,2607109,0.488,0.608
Ipojuca,2607208,0.457,0.619
Ipubi,2607307,0.417,0.55
Itacuruba,2607406,0.51,0.595
Itaíba,2607505,0.347,0.51
Ilha de Itamaracá,2607604,0.569,0.653
Itambé,2607653,0.408,0.575
Itapetim,2607703,0.449,0.592
Itapissuma,2607752,0.507,0.633
Itaquitinga,2607802,0.429,0.586
Jaboatão dos Guararapes,2607901,0.625,0.717
Jaqueira,2607950,0.394,0.575
Jataúba,2608008,0.389,0.53
Jatobá,2608057,0.529,0.645
João Alfredo,2608107,0.427,0.576
Joaquim Nabuco,2608206,0.408,0.554
Jucati,2608255,0.373,0.55
Jupi,2608305,0.44,0.575
Jurema,2608404,0.353,0.509
Lagoa do Carro,2608453,0.493,0.609
Lagoa do Itaenga,2608503,0.413,0.602
Lagoa do Ouro,2608602,0.377,0.525
Lagoa dos Gatos,2608701,0.391,0.551
Lagoa Grande,2608750,0.441,0.597
Lajedo,2608800,0.474,0.611
Limoeiro,2608909,0.539,0.663
Macaparana,2609006,0.454,0.609
Machados,2609105,0.418,0.578
Manari,2609154,0.295,0.487
Maraial,2609204,0.347,0.534
Mirandiba,2609303,0.445,0.591
Moreno,2609402,0.511,0.652
Nazaré da Mata,2609501,0.522,0.662
Olinda,2609600,0.648,0.735
Orobó,2609709,0.441,0.61
Orocó,2609808,0.474,0.61
Ouricuri,2609907,0.421,0.572
Palmares,2610004,0.473,0.622
Palmeirina,2610103,0.425,0.549
Panelas,2610202,0.402,0.569
Paranatama,2610301,0.36,0.537
Parnamirim,2610400,0.429,0.599
Passira,2610509,0.439,0.592
Paudalho,2610608,0.471,0.639
Paulista,2610707,0.648,0.732
Pedra,2610806,0.418,0.567
Pesqueira,2610905,0.482,0.61
Petrolândia,2611002,0.527,0.623
Petrolina,2611101,0.58,0.697
Poção,2611200,0.411,0.528
Pombos,2611309,0.446,0.598
Primavera,2611408,0.432,0.58
Quipapá,2611507,0.361,0.552
Quixaba,2611533,0.394,0.577
Recife,2611606,0.66,0.772
Riacho das Almas,2611705,0.426,0.57
Ribeirão,2611804,0.456,0.602
Rio Formoso,2611903,0.42,0.613
Sairé,2612000,0.389,0.585
Salgadinho,2612109,0.402,0.534
Salgueiro,2612208,0.531,0.669
Saloá,2612307,0.417,0.559
Sanharó,2612406,0.46,0.603
Santa Cruz,2612455,0.341,0.549
Santa Cruz da Baixa Verde,2612471,0.474,0.612
Santa Cruz do Capibaribe,2612505,0.52,0.648
Santa Filomena,2612554,0.315,0.533
Santa Maria da Boa Vista,2612604,0.468,0.59
Santa Maria do Cambucá,2612703,0.379,0.548
Santa Terezinha,2612802,0.432,0.593
São Benedito do Sul,2612901,0.356,0.53
São Bento do Una,2613008,0.437,0.593
São Caitano,2613107,0.418,0.591
São João,2613206,0.398,0.57
São Joaquim do Monte,2613305,0.365,0.537
São José da Coroa Grande,2613404,0.474,0.608
São José do Belmonte,2613503,0.439,0.61
São José do Egito,2613602,0.508,0.635
São Lourenço da Mata,2613701,0.53,0.653
São Vicente Ferrer,2613800,0.416,0.549
Serra Talhada,2613909,0.499,0.661
Serrita,2614006,0.41,0.595
Sertânia,2614105,0.485,0.613
Sirinhaém,2614204,0.436,0.597
Moreilândia,2614303,0.44,0.6
Solidão,2614402,0.403,0.585
Surubim,2614501,0.494,0.635
Tabira,2614600,0.475,0.605
Tacaimbó,2614709,0.397,0.554
Tacaratu,2614808,0.411,0.573
Tamandaré,2614857,0.402,0.593
Taquaritinga do Norte,2615003,0.48,0.641
Terezinha,2615102,0.352,0.545
Terra Nova,2615201,0.494,0.599
Timbaúba,2615300,0.489,0.618
Toritama,2615409,0.481,0.618
Tracunhaém,2615508,0.444,0.605
Trindade,2615607,0.462,0.595
Triunfo,2615706,0.552,0.67
Tupanatinga,2615805,0.343,0.519
Tuparetama,2615904,0.528,0.634
Venturosa,2616001,0.472,0.592
Verdejante,2616100,0.46,0.605
Vertente do Lério,2616183,0.382,0.563
Vertentes,2616209,0.452,0.582
Vicência,2616308,0.455,0.605
Vitória de Santo Antão,2616407,0.519,0.64
Xexéu,2616506,0.365,0.552
Água Branca,2700102,0.392,0.549
Anadia,2700201,0.428,0.568
Arapiraca,2700300,0.476,0.649
Atalaia,2700409,0.407,0.561
Barra de Santo Antônio,2700508,0.378,0.557
Barra de São Miguel,2700607,0.44,0.615
Batalha,2700706,0.401,0.594
Belém,2700805,0.416,0.593
Belo Monte,2700904,0.331,0.517
Boca da Mata,2701001,0.42,0.604
Branquinha,2701100,0.311,0.513
Cacimbinhas,2701209,0.359,0.531
Cajueiro,2701308,0.385,0.562
Campestre,2701357,0.412,0.559
Campo Alegre,2701407,0.393,0.57
Campo Grande,2701506,0.337,0.524
Canapi,2701605,0.306,0.506
Capela,2701704,0.379,0.573
Carneiros,2701803,0.356,0.526
Chã Preta,2701902,0.383,0.575
Coité do Nóia,2702009,0.354,0.533
Colônia Leopoldina,2702108,0.377,0.517
Coqueiro Seco,2702207,0.466,0.586
Coruripe,2702306,0.419,0.626
Craíbas,2702355,0.344,0.525
Delmiro Gouveia,2702405,0.436,0.612
Dois Riachos,2702504,0.37,0.532
Estrela de Alagoas,2702553,0.322,0.534
Feira Grande,2702603,0.371,0.533
Feliz Deserto,2702702,0.411,0.565
Flexeiras,2702801,0.373,0.527
Girau do Ponciano,2702900,0.335,0.536
Ibateguara,2703007,0.337,0.518
Igaci,2703106,0.366,0.564
Igreja Nova,2703205,0.374,0.568
Inhapi,2703304,0.281,0.484
Jacaré dos Homens,2703403,0.4,0.583
Jacuípe,2703502,0.358,0.548
Japaratinga,2703601,0.414,0.57
Jaramataia,2703700,0.386,0.552
Jequiá da Praia,2703759,0.382,0.556
Joaquim Gomes,2703809,0.349,0.531
Jundiá,2703908,0.38,0.562
Junqueiro,2704005,0.426,0.575
Lagoa da Canoa,2704104,0.383,0.552
Limoeiro de Anadia,2704203,0.369,0.58
Maceió,2704302,0.584,0.721
Major Isidoro,2704401,0.365,0.566
Maragogi,2704500,0.419,0.574
Maravilha,2704609,0.343,0.569
Marechal Deodoro,2704708,0.463,0.642
Maribondo,2704807,0.452,0.597
Mar Vermelho,2704906,0.412,0.577
Mata Grande,2705002,0.356,0.504
Matriz de Camaragibe,2705101,0.394,0.584
Messias,2705200,0.379,0.568
Minador do Negrão,2705309,0.384,0.563
Monteirópolis,2705408,0.38,0.539
Murici,2705507,0.391,0.527
Novo Lino,2705606,0.355,0.521
Olho d'Água das Flores,2705705,0.405,0.565
Olho d'Água do Casado,2705804,0.362,0.525
Olho d'Água Grande,2705903,0.368,0.503
Olivença,2706000,0.301,0.493
Ouro Branco,2706109,0.396,0.547
Palestina,2706208,0.402,0.558
Palmeira dos Índios,2706307,0.482,0.638
Pão de Açúcar,2706406,0.434,0.593
Pariconha,2706422,0.35,0.548
Paripueira,2706448,0.423,0.605
Passo de Camaragibe,2706505,0.382,0.533
Paulo Jacinto,2706604,0.42,0.589
Penedo,2706703,0.495,0.63
Piaçabuçu,2706802,0.417,0.572
Pilar,2706901,0.418,0.61
Pindoba,2707008,0.355,0.574
Piranhas,2707107,0.432,0.589
Poço das Trincheiras,2707206,0.313,0.526
Porto Calvo,2707305,0.423,0.586
Porto de Pedras,2707404,0.344,0.541
Porto Real do Colégio,2707503,0.378,0.551
Quebrangulo,2707602,0.384,0.559
Rio Largo,2707701,0.505,0.643
Roteiro,2707800,0.339,0.505
Santa Luzia do Norte,2707909,0.434,0.597
Santana do Ipanema,2708006,0.425,0.591
Santana do Mundaú,2708105,0.356,0.519
São Brás,2708204,0.436,0.572
São José da Laje,2708303,0.402,0.573
São José da Tapera,2708402,0.319,0.527
São Luís do Quitunde,2708501,0.396,0.536
São Miguel dos Campos,2708600,0.506,0.623
São Miguel dos Milagres,2708709,0.444,0.591
São Sebastião,2708808,0.351,0.549
Satuba,2708907,0.543,0.66
Senador Rui Palmeira,2708956,0.299,0.518
Tanque d'Arca,2709004,0.395,0.555
Taquarana,2709103,0.375,0.541
Teotônio Vilela,2709152,0.398,0.564
Traipu,2709202,0.32,0.532
União dos Palmares,2709301,0.406,0.593
Viçosa,2709400,0.415,0.586
Amparo de São Francisco,2800100,0.42,0.611
Aquidabã,2800209,0.428,0.578
Aracaju,2800308,0.648,0.77
Arauá,2800407,0.448,0.595
Areia Branca,2800506,0.44,0.579
Barra dos Coqueiros,2800605,0.527,0.649
Boquim,2800670,0.435,0.604
Brejo Grande,2800704,0.377,0.54
Campo do Brito,2801009,0.468,0.621
Canhoba,2801108,0.411,0.569
Canindé de São Francisco,2801207,0.381,0.567
Capela,2801306,0.444,0.615
Carira,2801405,0.397,0.588
Carmópolis,2801504,0.507,0.643
Cedro de São João,2801603,0.524,0.623
Cristinápolis,2801702,0.398,0.553
Cumbe,2801900,0.448,0.604
Divina Pastora,2802007,0.436,0.61
Estância,2802106,0.479,0.647
Feira Nova,2802205,0.432,0.584
Frei Paulo,2802304,0.457,0.589
Gararu,2802403,0.391,0.564
General Maynard,2802502,0.493,0.645
Gracho Cardoso,2802601,0.458,0.577
Ilha das Flores,2802700,0.421,0.562
Indiaroba,2802809,0.38,0.58
Itabaiana,2802908,0.481,0.642
Itabaianinha,2803005,0.38,0.556
Itabi,2803104,0.454,0.602
Itaporanga d'Ajuda,2803203,0.42,0.561
Japaratuba,2803302,0.48,0.621
Japoatã,2803401,0.406,0.56
Lagarto,2803500,0.447,0.625
Laranjeiras,2803609,0.47,0.642
Macambira,2803708,0.446,0.583
Malhada dos Bois,2803807,0.458,0.599
Malhador,2803906,0.453,0.587
Maruim,2804003,0.469,0.618
Moita Bonita,2804102,0.459,0.587
Monte Alegre de Sergipe,2804201,0.39,0.553
Muribeca,2804300,0.44,0.626
Neópolis,2804409,0.465,0.589
Nossa Senhora Aparecida,2804458,0.378,0.577
Nossa Senhora da Glória,2804508,0.432,0.587
Nossa Senhora das Dores,2804607,0.441,0.6
Nossa Senhora de Lourdes,2804706,0.459,0.598
Nossa Senhora do Socorro,2804805,0.51,0.664
Pacatuba,2804904,0.368,0.555
Pedra Mole,2805000,0.45,0.593
Pedrinhas,2805109,0.425,0.592
Pinhão,2805208,0.432,0.583
Pirambu,2805307,0.46,0.603
Poço Redondo,2805406,0.363,0.529
Poço Verde,2805505,0.421,0.561
Porto da Folha,2805604,0.387,0.568
Propriá,2805703,0.551,0.661
Riachão do Dantas,2805802,0.385,0.539
Riachuelo,2805901,0.48,0.617
Ribeirópolis,2806008,0.466,0.613
Rosário do Catete,2806107,0.492,0.631
Salgado,2806206,0.428,0.609
Santa Luzia do Itanhy,2806305,0.349,0.545
Santana do São Francisco,2806404,0.419,0.59
Santa Rosa de Lima,2806503,0.448,0.592
Santo Amaro das Brotas,2806602,0.496,0.637
São Cristóvão,2806701,0.529,0.662
São Domingos,2806800,0.402,0.588
São Francisco,2806909,0.444,0.587
São Miguel do Aleixo,2807006,0.383,0.567
Simão Dias,2807105,0.423,0.604
Siriri,2807204,0.472,0.609
Telha,2807303,0.453,0.604
Tobias Barreto,2807402,0.407,0.557
Tomar do Geru,2807501,0.35,0.551
Umbaúba,2807600,0.408,0.579
Abaíra,2900108,0.495,0.603
Abaré,2900207,0.422,0.575
Acajutiba,2900306,0.422,0.582
Adustina,2900355,0.347,0.546
Água Fria,2900405,0.382,0.55
Érico Cardoso,2900504,0.379,0.584
Aiquara,2900603,0.436,0.583
Alagoinhas,2900702,0.55,0.683
Alcobaça,2900801,0.453,0.608
Almadina,2900900,0.405,0.563
Amargosa,2901007,0.487,0.625
Amélia Rodrigues,2901106,0.513,0.666
América Dourada,2901155,0.391,0.561
Anagé,2901205,0.308,0.54
Andaraí,2901304,0.375,0.555
Andorinha,2901353,0.383,0.588
Angical,2901403,0.426,0.625
Anguera,2901502,0.427,0.589
Antas,2901601,0.444,0.592
Antônio Cardoso,2901700,0.395,0.561
Antônio Gonçalves,2901809,0.422,0.598
Aporá,2901908,0.398,0.548
Apuarema,2901957,0.386,0.552
Aracatu,2902005,0.342,0.581
Araças,2902054,0.363,0.57
Araci,2902104,0.362,0.534
Aramari,2902203,0.454,0.588
Arataca,2902252,0.372,0.559
Aratuípe,2902302,0.435,0.575
Aurelino Leal,2902401,0.365,0.568
Baianópolis,2902500,0.383,0.589
Baixa Grande,2902609,0.422,0.585
Banzaê,2902658,0.393,0.579
Barra,2902708,0.378,0.557
Barra da Estiva,2902807,0.412,0.575
Barra do Choça,2902906,0.316,0.551
Barra do Mendes,2903003,0.468,0.63
Barra do Rocha,2903102,0.386,0.577
Barreiras,2903201,0.572,0.721
Barro Alto,2903235,0.435,0.607
Barrocas,2903276,0.421,0.61
Barro Preto,2903300,0.421,0.602
Belmonte,2903409,0.441,0.598
Belo Campo,2903508,0.378,0.575
Biritinga,2903607,0.396,0.538
Boa Nova,2903706,0.319,0.567
Boa Vista do Tupim,2903805,0.365,0.551
Bom Jesus da Lapa,2903904,0.486,0.633
Bom Jesus da Serra,2903953,0.298,0.546
Boninal,2904001,0.436,0.612
Bonito,2904050,0.326,0.561
Boquira,2904100,0.414,0.603
Botuporã,2904209,0.393,0.575
Brejões,2904308,0.437,0.597
Brejolândia,2904407,0.414,0.592
Brotas de Macaúbas,2904506,0.404,0.57
Brumado,2904605,0.519,0.656
Buerarema,2904704,0.42,0.613
Buritirama,2904753,0.335,0.565
Caatiba,2904803,0.348,0.561
Cabaceiras do Paraguaçu,2904852,0.389,0.581
Cachoeira,2904902,0.516,0.647
Caculé,2905008,0.501,0.637
Caém,2905107,0.387,0.546
Caetanos,2905156,0.318,0.542
Caetité,2905206,0.454,0.625
Cafarnaum,2905305,0.417,0.584
Cairu,2905404,0.437,0.627
Caldeirão Grande,2905503,0.397,0.573
Camacan,2905602,0.441,0.581
Camaçari,2905701,0.551,0.694
Camamu,2905800,0.377,0.565
Campo Alegre de Lourdes,2905909,0.365,0.557
Campo Formoso,2906006,0.421,0.586
Canápolis,2906105,0.435,0.565
Canarana,2906204,0.421,0.587
Canavieiras,2906303,0.439,0.59
Candeal,2906402,0.453,0.587
Candeias,2906501,0.548,0.691
Candiba,2906600,0.463,0.591
Cândido Sales,2906709,0.423,0.601
Cansanção,2906808,0.349,0.557
Canudos,2906824,0.379,0.562
Capela do Alto Alegre,2906857,0.456,0.599
Capim Grosso,2906873,0.444,0.621
Caraíbas,2906899,0.322,0.555
Caravelas,2906907,0.473,0.616
Cardeal da Silva,2907004,0.382,0.552
Carinhanha,2907103,0.382,0.576
Casa Nova,2907202,0.373,0.57
Castro Alves,2907301,0.451,0.613
Catolândia,2907400,0.426,0.582
Catu,2907509,0.536,0.677
Caturama,2907558,0.394,0.571
Central,2907608,0.453,0.596
Chorrochó,2907707,0.426,0.6
Cícero Dantas,2907806,0.417,0.585
Cipó,2907905,0.444,0.601
Coaraci,2908002,0.433,0.613
Cocos,2908101,0.413,0.596
Conceição da Feira,2908200,0.496,0.634
Conceição do Almeida,2908309,0.482,0.606
Conceição do Coité,2908408,0.446,0.611
Conceição do Jacuípe,2908507,0.531,0.663
Conde,2908606,0.398,0.56
Condeúba,2908705,0.419,0.582
Contendas do Sincorá,2908804,0.417,0.577
Coração de Maria,2908903,0.434,0.592
Cordeiros,2909000,0.386,0.579
Coribe,2909109,0.397,0.6
Coronel João Sá,2909208,0.328,0.535
Correntina,2909307,0.442,0.603
Cotegipe,2909406,0.405,0.59
Cravolândia,2909505,0.442,0.599
Crisópolis,2909604,0.366,0.543
Cristópolis,2909703,0.427,0.614
Cruz das Almas,2909802,0.574,0.699
Curaçá,2909901,0.424,0.581
Dário Meira,2910008,0.348,0.54
Dias d'Ávila,2910057,0.54,0.676
Dom Basílio,2910107,0.434,0.591
Dom Macedo Costa,2910206,0.469,0.632
Elísio Medrado,2910305,0.472,0.623
Encruzilhada,2910404,0.359,0.544
Entre Rios,2910503,0.451,0.615
Esplanada,2910602,0.435,0.589
Euclides da Cunha,2910701,0.408,0.567
Eunápolis,2910727,0.54,0.677
Fátima,2910750,0.362,0.559
Feira da Mata,2910776,0.442,0.588
Feira de Santana,2910800,0.585,0.712
Filadélfia,2910859,0.369,0.565
Firmino Alves,2910909,0.472,0.578
Floresta Azul,2911006,0.454,0.557
Formosa do Rio Preto,2911105,0.449,0.618
Gandu,2911204,0.484,0.632
Gavião,2911253,0.422,0.599
Gentio do Ouro,2911303,0.414,0.559
Glória,2911402,0.421,0.593
Gongogi,2911501,0.389,0.576
Governador Mangabeira,2911600,0.514,0.643
Guajeru,2911659,0.333,0.569
Guanambi,2911709,0.548,0.673
Guaratinga,2911808,0.356,0.558
Heliópolis,2911857,0.37,0.563
Iaçu,2911907,0.396,0.574
Ibiassucê,2912004,0.437,0.611
Ibicaraí,2912103,0.449,0.625
Ibicoara,2912202,0.393,0.591
Ibicuí,2912301,0.424,0.584
Ibipeba,2912400,0.455,0.616
Ibipitanga,2912509,0.389,0.584
Ibiquera,2912608,0.368,0.511
Ibirapitanga,2912707,0.391,0.558
Ibirapuã,2912806,0.488,0.614
Ibirataia,2912905,0.422,0.576
Ibitiara,2913002,0.424,0.585
Ibititá,2913101,0.435,0.602
Ibotirama,2913200,0.5,0.636
Ichu,2913309,0.516,0.631
Igaporã,2913408,0.468,0.614
Igrapiúna,2913457,0.342,0.574
Iguaí,2913507,0.411,0.552
Ilhéus,2913606,0.521,0.69
Inhambupe,2913705,0.381,0.565
Ipecaetá,2913804,0.363,0.55
Ipiaú,2913903,0.498,0.67
Ipirá,2914000,0.382,0.549
Ipupiara,2914109,0.464,0.59
Irajuba,2914208,0.378,0.576
Iramaia,2914307,0.393,0.571
Iraquara,2914406,0.422,0.599
Irará,2914505,0.461,0.62
Irecê,2914604,0.542,0.691
Itabela,2914653,0.445,0.599
Itaberaba,2914703,0.472,0.62
Itabuna,2914802,0.581,0.712
Itacaré,2914901,0.384,0.583
Itaeté,2915007,0.373,0.572
Itagi,2915106,0.397,0.543
Itagibá,2915205,0.421,0.589
Itagimirim,2915304,0.493,0.634
Itaguaçu da Bahia,2915353,0.378,0.562
Itaju do Colônia,2915403,0.431,0.592
Itajuípe,2915502,0.451,0.599
Itamaraju,2915601,0.462,0.627
Itamari,2915700,0.428,0.578
Itambé,2915809,0.39,0.578
Itanagra,2915908,0.399,0.584
Itanhém,2916005,0.496,0.637
Itaparica,2916104,0.522,0.67
Itapé,2916203,0.448,0.599
Itapebi,2916302,0.394,0.572
Itapetinga,2916401,0.529,0.667
Itapicuru,2916500,0.311,0.486
Itapitanga,2916609,0.409,0.571
Itaquara,2916708,0.393,0.553
Itarantim,2916807,0.443,0.61
Itatim,2916856,0.447,0.582
Itiruçu,2916906,0.464,0.6
Itiúba,2917003,0.385,0.544
Itororó,2917102,0.444,0.594
Ituaçu,2917201,0.42,0.57
Ituberá,2917300,0.418,0.606
Iuiú,2917334,0.414,0.591
Jaborandi,2917359,0.374,0.613
Jacaraci,2917409,0.445,0.593
Jacobina,2917508,0.496,0.649
Jaguaquara,2917607,0.439,0.58
Jaguarari,2917706,0.465,0.659
Jaguaripe,2917805,0.407,0.556
Jandaíra,2917904,0.375,0.55
Jequié,2918001,0.504,0.665
Jeremoabo,2918100,0.383,0.547
Jiquiriçá,2918209,0.426,0.553
Jitaúna,2918308,0.401,0.575
João Dourado,2918357,0.431,0.593
Juazeiro,2918407,0.531,0.677
Jucuruçu,2918456,0.354,0.541
Jussara,2918506,0.394,0.571
Jussari,2918555,0.426,0.567
Jussiape,2918605,0.449,0.602
Lafaiete Coutinho,2918704,0.395,0.599
Lagoa Real,2918753,0.36,0.545
Laje,2918803,0.431,0.586
Lajedão,2918902,0.496,0.632
Lajedinho,2919009,0.341,0.546
Lajedo do Tabocal,2919058,0.4,0.584
Lamarão,2919108,0.39,0.518
Lapão,2919157,0.447,0.596
Lauro de Freitas,2919207,0.616,0.754
Lençóis,2919306,0.478,0.623
Licínio de Almeida,2919405,0.488,0.621
Livramento de Nossa Senhora,2919504,0.486,0.611
Luís Eduardo Magalhães,2919553,0.547,0.716
Macajuba,2919603,0.374,0.524
Macarani,2919702,0.449,0.605
Macaúbas,2919801,0.432,0.609
Macururé,2919900,0.392,0.604
Madre de Deus,2919926,0.565,0.708
Maetinga,2919959,0.311,0.538
Maiquinique,2920007,0.42,0.576
Mairi,2920106,0.384,0.572
Malhada,2920205,0.391,0.562
Malhada de Pedras,2920304,0.379,0.578
Manoel Vitorino,2920403,0.357,0.566
Mansidão,2920452,0.389,0.599
Maracás,2920502,0.412,0.607
Maragogipe,2920601,0.456,0.621
Maraú,2920700,0.354,0.593
Marcionílio Souza,2920809,0.408,0.561
