Localidade,CodigoIBGE,I2000,I2010
Urucurituba,1304401,0.427,0.588
Amajari,1400027,0.42,0.484
Alto Alegre,1400050,0.46,0.542
Boa Vista,1400100,0.649,0.752
Bonfim,1400159,0.458,0.626
Cantá,1400175,0.499,0.619
Caracaraí,1400209,0.521,0.624
Caroebe,1400233,0.492,0.639
Iracema,1400282,0.518,0.582
Mucajaí,1400308,0.55,0.665
Normandia,1400407,0.373,0.594
Pacaraima,1400456,0.544,0.65
Rorainópolis,1400472,0.501,0.619
São João da Baliza,1400506,0.538,0.655
São Luiz,1400605,0.545,0.649
Uiramutã,1400704,0.333,0.453
Abaetetuba,1500107,0.501,0.628
Abel Figueiredo,1500131,0.508,0.622
Acará,1500206,0.35,0.506
Afuá,1500305,0.33,0.489
Água Azul do Norte,1500347,0.376,0.564
Alenquer,1500404,0.433,0.564
Almeirim,1500503,0.526,0.642
Altamira,1500602,0.534,0.665
Anajás,1500701,0.307,0.484
Ananindeua,1500800,0.606,0.718
Anapu,1500859,0.392,0.548
Augusto Corrêa,1500909,0.335,0.52
Aurora do Pará,1500958,0.358,0.519
Aveiro,1501006,0.368,0.541
Bagre,1501105,0.33,0.471
Baião,1501204,0.459,0.578
Bannach,1501253,0.424,0.594
Barcarena,1501303,0.554,0.662
Belém,1501402,0.644,0.746
Belterra,1501451,0.396,0.588
Benevides,1501501,0.529,0.665
Bom Jesus do Tocantins,1501576,0.429,0.589
Bonito,1501600,0.381,0.546
Bragança,1501709,0.458,0.6
Brasil Novo,1501725,0.433,0.613
Brejo Grande do Araguaia,1501758,0.496,0.591
Breu Branco,1501782,0.422,0.568
Breves,1501808,0.372,0.503
Bujaru,1501907,0.395,0.552
Cachoeira do Piriá,1501956,0.301,0.473
Cachoeira do Arari,1502004,0.427,0.546
Cametá,1502103,0.432,0.577
Canaã dos Carajás,1502152,0.456,0.673
Capanema,1502202,0.533,0.655
Capitão Poço,1502301,0.379,0.548
Castanhal,1502400,0.55,0.673
Chaves,1502509,0.289,0.453
Colares,1502608,0.524,0.602
Conceição do Araguaia,1502707,0.512,0.64
Concórdia do Pará,1502756,0.402,0.566
Cumaru do Norte,1502764,0.405,0.55
Curionópolis,1502772,0.449,0.636
Curralinho,1502806,0.323,0.502
Curuá,1502855,0.383,0.578
Curuçá,1502905,0.474,0.582
Dom Eliseu,1502939,0.452,0.615
Eldorado dos Carajás,1502954,0.389,0.56
Faro,1503002,0.431,0.563
Floresta do Araguaia,1503044,0.411,0.583
Garrafão do Norte,1503077,0.331,0.526
Goianésia do Pará,1503093,0.422,0.56
Gurupá,1503101,0.349,0.509
Igarapé-Açu,1503200,0.459,0.595
Igarapé-Miri,1503309,0.416,0.547
Inhangapi,1503408,0.438,0.572
Ipixuna do Pará,1503457,0.317,0.489
Irituia,1503507,0.419,0.559
Itaituba,1503606,0.489,0.64
Itupiranga,1503705,0.354,0.528
Jacareacanga,1503754,0.371,0.505
Jacundá,1503804,0.477,0.622
Juruti,1503903,0.389,0.592
Limoeiro do Ajuru,1504000,0.373,0.541
Mãe do Rio,1504059,0.466,0.599
Magalhães Barata,1504109,0.429,0.597
Marabá,1504208,0.536,0.668
Maracanã,1504307,0.406,0.57
Marapanim,1504406,0.448,0.609
Marituba,1504422,0.505,0.676
Medicilândia,1504455,0.47,0.582
Melgaço,1504505,0.26,0.418
Mocajuba,1504604,0.443,0.575
Moju,1504703,0.399,0.547
Monte Alegre,1504802,0.467,0.589
Muaná,1504901,0.35,0.547
Nova Esperança do Piriá,1504950,0.315,0.502
Nova Ipixuna,1504976,0.432,0.581
Nova Timboteua,1505007,0.469,0.609
Novo Progresso,1505031,0.466,0.673
Novo Repartimento,1505064,0.372,0.537
Óbidos,1505106,0.452,0.594
Oeiras do Pará,1505205,0.36,0.507
Oriximiná,1505304,0.517,0.623
Ourém,1505403,0.436,0.568
Ourilândia do Norte,1505437,0.438,0.624
Pacajá,1505486,0.34,0.515
Palestina do Pará,1505494,0.455,0.589
Paragominas,1505502,0.471,0.645
Parauapebas,1505536,0.553,0.715
Pau d'Arco,1505551,0.401,0.574
Peixe-Boi,1505601,0.446,0.581
Piçarra,1505635,0.37,0.563
Placas,1505650,0.39,0.552
Ponta de Pedras,1505700,0.444,0.562
Portel,1505809,0.359,0.483
Porto de Moz,1505908,0.36,0.503
Prainha,1506005,0.361,0.523
Primavera,1506104,0.43,0.577
Quatipuru,1506112,0.406,0.543
Redenção,1506138,0.53,0.672
Rio Maria,1506161,0.499,0.638
Rondon do Pará,1506187,0.461,0.602
Rurópolis,1506195,0.421,0.548
Salinópolis,1506203,0.517,0.647
Salvaterra,1506302,0.478,0.608
Santa Bárbara do Pará,1506351,0.505,0.627
Santa Cruz do Arari,1506401,0.393,0.557
Santa Isabel do Pará,1506500,0.535,0.659
Santa Luzia do Pará,1506559,0.362,0.546
Santa Maria das Barreiras,1506583,0.408,0.544
Santa Maria do Pará,1506609,0.463,0.598
Santana do Araguaia,1506708,0.45,0.602
Santarém,1506807,0.555,0.691
Santarém Novo,1506906,0.424,0.587
Santo Antônio do Tauá,1507003,0.475,0.632
São Caetano de Odivelas,1507102,0.464,0.585
São Domingos do Araguaia,1507151,0.454,0.594
São Domingos do Capim,1507201,0.371,0.532
São Félix do Xingu,1507300,0.435,0.594
São Francisco do Pará,1507409,0.476,0.608
São Geraldo do Araguaia,1507458,0.415,0.595
São João da Ponta,1507466,0.448,0.583
São João de Pirabas,1507474,0.415,0.539
São João do Araguaia,1507508,0.349,0.55
São Miguel do Guamá,1507607,0.453,0.591
São Sebastião da Boa Vista,1507706,0.422,0.558
Sapucaia,1507755,0.469,0.59
Senador José Porfírio,1507805,0.361,0.514
Soure,1507904,0.513,0.615
Tailândia,1507953,0.433,0.588
Terra Alta,1507961,0.474,0.605
Terra Santa,1507979,0.49,0.635
Tomé-Açu,1508001,0.438,0.586
Tracuateua,1508035,0.357,0.531
Trairão,1508050,0.395,0.562
Tucumã,1508084,0.512,0.659
Tucuruí,1508100,0.543,0.666
Ulianópolis,1508126,0.42,0.604
Uruará,1508159,0.45,0.589
Vigia,1508209,0.487,0.617
Viseu,1508308,0.353,0.515
Vitória do Xingu,1508357,0.422,0.596
Xinguara,1508407,0.519,0.646
Serra do Navio,1600055,0.569,0.709
Amapá,1600105,0.498,0.642
Pedra Branca do Amaparí,1600154,0.442,0.626
Calçoene,1600204,0.488,0.643
Cutias,1600212,0.444,0.628
Ferreira Gomes,1600238,0.537,0.656
Itaubal,1600253,0.415,0.576
Laranjal do Jari,1600279,0.481,0.665
Macapá,1600303,0.622,0.733
Mazagão,1600402,0.434,0.592
Oiapoque,1600501,0.537,0.658
Porto Grande,1600535,0.52,0.64
Pracuúba,1600550,0.44,0.614
Santana,1600600,0.562,0.692
Tartarugalzinho,1600709,0.45,0.592
Vitória do Jari,1600808,0.459,0.619
Abreulândia,1700251,0.454,0.665
Aguiarnópolis,1700301,0.466,0.657
Aliança do Tocantins,1700350,0.544,0.663
Almas,1700400,0.42,0.636
Alvorada,1700707,0.578,0.708
Ananás,1701002,0.496,0.671
Angico,1701051,0.485,0.648
Aparecida do Rio Negro,1701101,0.479,0.651
Aragominas,1701309,0.402,0.593
Araguacema,1701903,0.477,0.639
Araguaçu,1702000,0.542,0.675
Araguaína,1702109,0.58,0.752
Araguanã,1702158,0.388,0.604
Araguatins,1702208,0.432,0.631
Arapoema,1702307,0.48,0.68
Arraias,1702406,0.474,0.651
Augustinópolis,1702554,0.462,0.67
Aurora do Tocantins,1702703,0.486,0.677
Axixá do Tocantins,1702901,0.432,0.627
Babaçulândia,1703008,0.397,0.642
Bandeirantes do Tocantins,1703057,0.445,0.638
Barra do Ouro,1703073,0.36,0.603
Barrolândia,1703107,0.497,0.642
Bernardo Sayão,1703206,0.504,0.638
Bom Jesus do Tocantins,1703305,0.396,0.66
Brasilândia do Tocantins,1703602,0.505,0.684
Brejinho de Nazaré,1703701,0.487,0.686
Buriti do Tocantins,1703800,0.462,0.627
Cachoeirinha,1703826,0.443,0.627
Campos Lindos,1703842,0.343,0.544
Cariri do Tocantins,1703867,0.528,0.662
Carmolândia,1703883,0.447,0.64
Carrasco Bonito,1703891,0.407,0.594
Caseara,1703909,0.49,0.658
Centenário,1704105,0.407,0.569
Chapada de Areia,1704600,0.41,0.619
Chapada da Natividade,1705102,0.401,0.62
Colinas do Tocantins,1705508,0.561,0.701
Combinado,1705557,0.526,0.697
Conceição do Tocantins,1705607,0.422,0.592
Couto Magalhães,1706001,0.409,0.605
Cristalândia,1706100,0.544,0.673
Crixás do Tocantins,1706258,0.491,0.644
Darcinópolis,1706506,0.41,0.581
Dianópolis,1707009,0.515,0.701
Divinópolis do Tocantins,1707108,0.503,0.683
Dois Irmãos do Tocantins,1707207,0.439,0.583
Dueré,1707306,0.5,0.679
Esperantina,1707405,0.357,0.57
Fátima,1707553,0.543,0.697
Figueirópolis,1707652,0.553,0.689
Filadélfia,1707702,0.447,0.621
Formoso do Araguaia,1708205,0.507,0.67
Fortaleza do Tabocão,1708254,0.473,0.659
Goianorte,1708304,0.416,0.621
Goiatins,1709005,0.347,0.576
Guaraí,1709302,0.559,0.741
Gurupi,1709500,0.61,0.759
Ipueiras,1709807,0.384,0.62
Itacajá,1710508,0.426,0.612
Itaguatins,1710706,0.378,0.616
Itapiratins,1710904,0.382,0.601
Itaporã do Tocantins,1711100,0.515,0.65
Jaú do Tocantins,1711506,0.471,0.662
Juarina,1711803,0.448,0.584
Lagoa da Confusão,1711902,0.479,0.627
Lagoa do Tocantins,1711951,0.317,0.579
Lajeado,1712009,0.506,0.675
Lavandeira,1712157,0.431,0.66
Lizarda,1712405,0.388,0.57
Luzinópolis,1712454,0.454,0.639
Marianópolis do Tocantins,1712504,0.497,0.631
Mateiros,1712702,0.281,0.607
Maurilândia do Tocantins,1712801,0.383,0.58
Miracema do Tocantins,1713205,0.58,0.684
Miranorte,1713304,0.508,0.662
Monte do Carmo,1713601,0.413,0.622
Monte Santo do Tocantins,1713700,0.454,0.62
Palmeiras do Tocantins,1713809,0.435,0.628
Muricilândia,1713957,0.386,0.596
Natividade,1714203,0.476,0.673
Nazaré,1714302,0.482,0.643
Nova Olinda,1714880,0.467,0.631
Nova Rosalândia,1715002,0.556,0.661
Novo Acordo,1715101,0.473,0.639
Novo Alegre,1715150,0.544,0.699
Novo Jardim,1715259,0.371,0.596
Oliveira de Fátima,1715507,0.496,0.675
Palmeirante,1715705,0.326,0.571
Palmeirópolis,1715754,0.545,0.673
Paraíso do Tocantins,1716109,0.613,0.764
Paranã,1716208,0.334,0.595
Pau d'Arco,1716307,0.426,0.661
Pedro Afonso,1716505,0.546,0.732
Peixe,1716604,0.482,0.674
Pequizeiro,1716653,0.433,0.627
Colméia,1716703,0.502,0.671
Pindorama do Tocantins,1717008,0.423,0.605
Piraquê,1717206,0.431,0.621
Pium,1717503,0.487,0.65
Ponte Alta do Bom Jesus,1717800,0.411,0.603
Ponte Alta do Tocantins,1717909,0.461,0.624
Porto Alegre do Tocantins,1718006,0.44,0.645
Porto Nacional,1718204,0.562,0.74
Praia Norte,1718303,0.374,0.583
Presidente Kennedy,1718402,0.527,0.669
Pugmil,1718451,0.45,0.669
Recursolândia,1718501,0.33,0.5
Riachinho,1718550,0.361,0.572
Rio da Conceição,1718659,0.412,0.608
Rio dos Bois,1718709,0.476,0.616
Rio Sono,1718758,0.363,0.6
Sampaio,1718808,0.457,0.606
Sandolândia,1718840,0.498,0.659
Santa Fé do Araguaia,1718865,0.439,0.616
Santa Maria do Tocantins,1718881,0.412,0.634
Santa Rita do Tocantins,1718899,0.43,0.651
Santa Rosa do Tocantins,1718907,0.41,0.595
Santa Tereza do Tocantins,1719004,0.479,0.662
Santa Terezinha do Tocantins,1720002,0.398,0.637
São Bento do Tocantins,1720101,0.411,0.605
São Félix do Tocantins,1720150,0.419,0.574
São Miguel do Tocantins,1720200,0.42,0.623
São Salvador do Tocantins,1720259,0.419,0.605
São Sebastião do Tocantins,1720309,0.439,0.573
São Valério,1720499,0.46,0.643
Silvanópolis,1720655,0.451,0.675
Sítio Novo do Tocantins,1720804,0.457,0.604
Sucupira,1720853,0.453,0.667
Taguatinga,1720903,0.451,0.634
Taipas do Tocantins,1720937,0.387,0.601
Talismã,1720978,0.481,0.654
Palmas,1721000,0.654,0.788
Tocantínia,1721109,0.445,0.589
Tocantinópolis,1721208,0.542,0.681
Tupirama,1721257,0.445,0.67
Tupiratins,1721307,0.446,0.587
Wanderlândia,1722081,0.474,0.638
Xambioá,1722107,0.504,0.671
Açailândia,2100055,0.498,0.672
Afonso Cunha,2100105,0.337,0.529
Água Doce do Maranhão,2100154,0.293,0.5
Alcântara,2100204,0.405,0.573
Aldeias Altas,2100303,0.349,0.513
Altamira do Maranhão,2100402,0.384,0.549
Alto Alegre do Maranhão,2100436,0.331,0.554
Alto Alegre do Pindaré,2100477,0.336,0.558
Alto Parnaíba,2100501,0.435,0.633
Amapá do Maranhão,2100550,0.327,0.52
Amarante do Maranhão,2100600,0.374,0.555
Anajatuba,2100709,0.397,0.581
Anapurus,2100808,0.421,0.581
Apicum-Açu,2100832,0.327,0.568
Araguanã,2100873,0.359,0.533
Araioses,2100907,0.298,0.521
Arame,2100956,0.334,0.512
Arari,2101004,0.47,0.626
Axixá,2101103,0.464,0.641
Bacabal,2101202,0.481,0.651
Bacabeira,2101251,0.433,0.629
Bacuri,2101301,0.403,0.578
Bacurituba,2101350,0.369,0.537
Balsas,2101400,0.521,0.687
Barão de Grajaú,2101509,0.424,0.592
Barra do Corda,2101608,0.423,0.606
Barreirinhas,2101707,0.361,0.57
Belágua,2101731,0.32,0.512
Bela Vista do Maranhão,2101772,0.355,0.554
Benedito Leite,2101806,0.379,0.546
Bequimão,2101905,0.422,0.601
Bernardo do Mearim,2101939,0.413,0.604
Boa Vista do Gurupi,2101970,0.369,0.545
Bom Jardim,2102002,0.332,0.538
Bom Jesus das Selvas,2102036,0.364,0.558
Bom Lugar,2102077,0.382,0.562
Brejo,2102101,0.383,0.562
Brejo de Areia,2102150,0.317,0.519
Buriti,2102200,0.379,0.548
Buriti Bravo,2102309,0.395,0.59
Buriticupu,2102325,0.342,0.556
Buritirana,2102358,0.376,0.583
Cachoeira Grande,2102374,0.344,0.537
Cajapió,2102408,0.388,0.553
Cajari,2102507,0.331,0.523
Campestre do Maranhão,2102556,0.441,0.652
Cândido Mendes,2102606,0.382,0.561
Cantanhede,2102705,0.378,0.565
Capinzal do Norte,2102754,0.367,0.537
Carolina,2102804,0.476,0.634
Carutapera,2102903,0.381,0.574
Caxias,2103000,0.469,0.624
Cedral,2103109,0.452,0.605
Central do Maranhão,2103125,0.392,0.585
Centro do Guilherme,2103158,0.307,0.542
Centro Novo do Maranhão,2103174,0.321,0.518
Chapadinha,2103208,0.42,0.604
Cidelândia,2103257,0.414,0.6
Codó,2103307,0.4,0.595
Coelho Neto,2103406,0.387,0.564
Colinas,2103505,0.408,0.596
Conceição do Lago-Açu,2103554,0.309,0.512
Coroatá,2103604,0.376,0.576
Cururupu,2103703,0.46,0.612
Davinópolis,2103752,0.418,0.607
Dom Pedro,2103802,0.48,0.622
Duque Bacelar,2103901,0.383,0.533
Esperantinópolis,2104008,0.375,0.586
Estreito,2104057,0.468,0.659
Feira Nova do Maranhão,2104073,0.302,0.532
Fernando Falcão,2104081,0.261,0.443
Formosa da Serra Negra,2104099,0.335,0.556
Fortaleza dos Nogueiras,2104107,0.42,0.616
Fortuna,2104206,0.43,0.58
Godofredo Viana,2104305,0.388,0.604
Gonçalves Dias,2104404,0.395,0.568
Governador Archer,2104503,0.377,0.565
Governador Edison Lobão,2104552,0.422,0.629
Governador Eugênio Barros,2104602,0.393,0.572
Governador Luiz Rocha,2104628,0.369,0.544
Governador Newton Bello,2104651,0.318,0.521
Governador Nunes Freire,2104677,0.361,0.569
Graça Aranha,2104701,0.406,0.57
Grajaú,2104800,0.421,0.609
Guimarães,2104909,0.479,0.625
Humberto de Campos,2105005,0.365,0.535
Icatu,2105104,0.348,0.546
Igarapé do Meio,2105153,0.341,0.569
Igarapé Grande,2105203,0.443,0.614
Imperatriz,2105302,0.591,0.731
Itaipava do Grajaú,2105351,0.319,0.518
Itapecuru Mirim,2105401,0.431,0.599
Itinga do Maranhão,2105427,0.48,0.63
Jatobá,2105450,0.385,0.561
Jenipapo dos Vieiras,2105476,0.335,0.49
João Lisboa,2105500,0.454,0.641
